DATE,FTSE100,Nikkei,SP500,SSE,USDINDEX
2007/4/20,-0.001085879,0.004631703,-0.000351206,0.038447436,-0.001071201
2007/4/23,-0.00777276,0.000157557,0.010088034,0.034734217,0.000148146
2007/4/24,0.005028134,-0.000206239,-0.000782725,0.002596006,-0.000236414
2007/4/25,0.001149147,-0.012431537,-0.000120505,0.006276939,-0.003274559
2007/4/26,-0.007869346,0.011135723,-0.007861749,0.010390392,0.003321846
2007/4/27,0.004746712,-0.001651456,0.002647688,-0.006150427,-0.001630073
2007/5/8,0.015446336,0.014629456,0.003472348,0.049334791,-0.001532587
2007/5/9,-0.003897901,0.005156312,0.009595316,0.015841902,-0.000753988
2007/5/10,0.006348481,-0.000628895,-0.001794585,0.009082771,0.001658025
2007/5/11,-0.001550167,-0.010384718,-0.001304835,-0.00694381,0.000556977
2007/5/14,0.00200394,0.00705157,0.008589543,0.006126419,-0.001862718
2007/5/15,-0.001401574,-0.009375156,-0.000918444,-0.037059886,-0.002843958
2007/5/16,0.003013999,0.000914305,0.006588724,0.022033245,0.002713184
2007/5/17,0.009329751,-0.001735797,0.001542055,0.015496301,0.000206699
2007/5/18,-0.000622095,-0.005674783,-0.000642775,-0.004464895,-0.001863939
2007/5/21,-0.00455775,0.008999205,-0.001207961,0.010359149,0.000478454
2007/5/22,0.001480752,0.006991652,-0.00974994,0.009325658,-0.001345112
2007/5/23,-0.007730365,0.001416885,0.005437868,0.01528987,-0.001265401
2007/5/24,0.000776492,-0.000460337,0.001568972,-0.005423821,0.002609457
2007/5/29,0.004787208,-0.001380293,0.008206749,0.043322775,-0.003694152
2007/5/30,0.002929628,-0.004781564,0.003730063,-0.067225006,0.002071971
2007/5/31,0.008303483,0.016213425,0.0018469,0.013859761,-0.002409059
2007/6/1,-0.001881451,0.004639702,-0.005361416,-0.026858964,-0.002011107
2007/6/4,-0.004709374,0.000809247,-0.008903259,-0.086178942,-0.00143625
2007/6/5,-0.01674017,0.004462778,-0.017725961,0.026004872,1.81E-05
2007/6/6,-0.002697308,-0.000713725,0.011306237,0.002443408,0.001308737
2007/6/7,-1.54E-06,0.000689924,0.000961254,0.029866389,0.002461861
2007/6/8,0.009548266,-0.015309934,-0.010739178,0.005723288,0.004295837
2007/6/11,-0.007192896,0.00311065,0.015070096,0.020874915,-0.001080154
2007/6/12,0.005980136,-0.004133705,0.004804742,0.018954393,0.000438326
2007/6/13,0.013681297,-0.00158567,0.006505555,0.025300394,0.0021308
2007/6/14,0.012326868,0.006157116,-0.001214105,-0.014778929,1.90E-05
2007/6/15,-0.004301914,0.007215197,0.001729278,0.004282018,-0.002955802
2007/6/18,-0.007976834,0.009857462,-0.013694428,0.028734835,-0.000796108
2007/6/19,-0.000148878,0.00077602,0.006161392,0.003795857,-0.002380472
2007/6/20,-0.008042178,0.002643022,-0.012979689,-0.020874567,0.000414448
2007/6/21,-0.004351486,0.001570345,-0.003213061,0.011768832,0.00259831
2007/6/22,0.003201642,-0.002836754,-0.00324345,-0.033498369,-0.001800636
2007/6/25,-0.004431204,-0.005576709,0.008968996,-0.03744316,0.000776935
2007/6/26,-0.004846095,-0.001182239,-0.000418323,0.008159811,-0.000451904
2007/6/27,0.006673893,-0.012074641,-0.001568587,0.0261387,0.001010416
2007/6/28,0.005557264,0.004638725,0.010639365,-0.041141562,-0.003430037
2007/6/29,-0.002629098,0.011427142,0.003573857,-0.024177608,-0.001063814
2007/7/2,0.007446544,0.000437728,0.000347529,0.004072376,-0.005382035
2007/7/3,0.004996675,0.000198346,0.003298551,0.01639903,0.000672606
2007/7/5,0.002551787,0.003936071,0.000920902,-0.075572749,0.00072868
2007/7/6,0.003364974,-0.004429912,-0.014287025,0.04474747,-0.00202198
2007/7/9,-0.01225172,0.006650097,0.005705104,0.026583159,-0.000256509
2007/7/10,-0.002385616,-0.000509962,0.018875707,-0.007806178,-0.002332977
2007/7/11,0.012404734,-0.011192841,0.003096609,0.003291187,-0.000267891
2007/7/12,0.002835756,-0.003628231,-0.001921316,0.012919716,-0.002028658
2007/7/13,-0.002831277,0.014069081,-9.68E-05,-0.000407629,-0.001144343
2007/7/17,-0.019702419,-0.001189355,0.002391634,-0.004661401,-0.001116593
2007/7/18,0.011080358,-0.011133076,-0.012296153,0.00865532,-0.001223443
2007/7/19,-0.008317339,0.005590063,0.004857468,-0.004365464,-0.000675905
2007/7/20,0.00592752,0.002280357,-0.020003161,0.036611184,-0.000165003
2007/7/23,-0.019153087,-0.010757613,0.004654762,0.0373602,-0.000640858
2007/7/24,-0.006855571,0.00213474,-0.023615149,-0.000719812,-0.001657995
2007/7/25,-0.031974679,-0.008009389,-0.016120829,0.026632179,0.004464373
2007/7/26,-0.005775541,-0.008792399,0.010201791,0.005188267,0.00214688
2007/7/27,-0.001462003,-0.023912446,-0.012727292,-0.000253359,0.004606069
2007/7/30,0.024509771,0.000317601,0.007216567,0.021719666,0.000462754
2007/7/31,-0.017373013,-0.002340028,0.004349816,0.006791736,-0.001768812
2007/8/1,0.007918243,-0.022152816,-0.026945788,-0.038873364,-0.000270838
